Country,Covid2020,Covid2021,Covid2022,Covid2023,Total
Afghanistan,8501751,39518380,67783564,14184774,245792164
Albania,3727544,51106141,108004674,22724295,348401013
Algeria,10583375,57172988,96532073,18453214,347030086
Andorra,682822,5084330,15527738,3252635,45842415
Angola,1343410,14797145,36733077,7151571,112898835
Antarctica,0,198,4015,748,9174
Antigua and Barbuda,22902,689438,2978707,619208,8001302
Argentina,148336421,1440211060,3355238982,681696458,10569269384
Armenia,14553077,86241517,154350198,30346531,540636115
Australia,5091224,28433623,2707065059,768274975,6249454787
Austria,21771909,248771060,1544778286,395136379,4025778889
Azerbaijan,12949032,137425851,286875651,56296127,930797195
Bahamas,773606,5349746,12829405,2549388,40454902
Bahrain,12929706,79666732,216965022,47745223,666868143
Bangladesh,68809478,387483890,714520138,138554175,2480181187
Barbados,45229,2925705,29455469,7222087,72074893
Belarus,20430958,158661092,346964531,67594516,1119707678
Belgium,53832033,413103530,1494064879,319497207,4241498091
Belize,574897,6261671,22538854,4799505,63550349
Benin,462136,4621800,9916300,1903204,31903676
Bhutan,53440,674163,17345959,4256233,40403357
Bolivia,22628496,144683491,357779351,80621266,1130803942
Bosnia and Herzegovina,8049638,73616221,138613179,27294152,467852228
Botswana,933952,36852379,110992769,22376888,319935088
Brazil,892348107,6208408213,11578450312,2503483962,39861897226
Brunei,41227,1448283,60065905,18712997,141823827
Bulgaria,11095857,158912082,425520065,88083432,1279139440
Burkina Faso,486257,4887880,7679867,1498319,27606327
Burma,6784826,103436007,221346895,43100522,706235978
Burundi,98813,3381532,16063061,3605703,42692515
Cabo Verde,1221070,10461284,21555166,4299569,70774609
Cambodia,63394,20812497,49109794,9430484,149401854
Cameroon,4231941,26861187,43836162,8438258,158296838
Canada,48459090,491339089,1411280298,310603838,4212760792
Central African Republic,954949,2996575,5346591,1044663,19640893
Chad,277903,1708527,2698075,520825,9889835
Chile,92447449,496405065,1415738216,348279024,4357460484
China,29666231,41913418,758127952,331099491,1990514693
Colombia,155342636,1386140553,2241439998,431905928,7997752302
Comoros,97295,1394169,3026232,611507,9646899
Congo (Brazzaville),896698,4645968,8890710,1715920,30582672
Congo (Kinshasa),2237535,15306360,32762875,6493096,107106636
Costa Rica,14509356,135938660,346009510,80661731,1073576783
Cote d'Ivoire,3707614,17668745,30677524,5987216,110094982
Croatia,9921974,136540739,415053413,86190519,1209222771
Cuba,1201037,150524716,398823327,75644457,1176742617
Cyprus,987129,31056285,178059508,43704084,463909928
Czechia,40948971,588519244,1497254668,312424748,4565870514
Denmark,9312761,116789107,1101218467,234332877,2688973547
Diamond Princess,227844,259880,259880,48416,1543624
Djibouti,1201333,3876705,5684977,1066920,22592950
Dominica,9215,626797,4919376,1071680,12182456
Dominican Republic,21166725,113645275,220274277,44877681,755050235
Ecuador,28245590,154089017,330380611,71435163,1096865599
Egypt,21009479,96168737,182357245,35065412,634136334
El Salvador,5411943,30667134,63766601,13721380,213412736
Equatorial Guinea,939924,3362406,5976038,1169806,21726542
Eritrea,86376,1860123,3596051,692852,11777952
Estonia,1357875,48325161,199580734,41742484,540270024
Eswatini,931723,10791149,26216642,5041135,80920163
Ethiopia,12832683,98832178,175623711,33964783,608541927
Fiji,7650,8093597,24012356,4680834,68908040
Finland,3297517,40428766,386340386,98988452,959121790
France,208965946,2143786775,11051660181,2701498984,29510324788
Gabon,1710711,9035646,17490989,3330679,59805371
Gambia,505978,2640777,4422965,855884,15995324
Georgia,9272618,169867566,596034482,123556685,1673906017
Germany,114572796,1374223880,9624337514,2572909530,24799177910
Ghana,8669957,37441079,60034174,11636643,223927063
Greece,7976094,178169336,1401240420,377297116,3552068816
Grenada,8306,667105,6129757,1338108,14948444
Guatemala,16509082,131573540,347218388,83399421,1074001441
Guinea,2144527,8821012,13515801,2600363,51563043
Guinea-Bissau,486983,1655360,3038406,608609,10970107
Guyana,548708,7735365,24172389,4954045,69866969
Haiti,1695905,6562333,11596957,2315631,42026021
Holy See,4429,9855,10551,1972,51642
Honduras,14412084,98465666,157804258,31988675,573352691
Hungary,15561117,276202001,702071095,149077838,2136746264
Iceland,807858,3491173,63867811,14192446,150526130
India,1084280238,9215075561,15793205908,3038557987,55223681401
Indonesia,60573725,987820633,2186342807,457669533,6927143863
Iran,117905811,1338958417,2641128250,514429971,8710414927
Iraq,64618779,512717853,864083363,167656467,3050496457
Ireland,10464787,119447207,555571049,115594919,1486561005
Israel,41522946,353426300,1501536904,325483204,4118455504
Italy,151300759,1490063177,6711344253,1730453489,18435869867
Jamaica,1150061,20198276,50808246,10442588,154755754
Japan,18466972,366717759,4760172930,2192853970,12483569292
Jordan,14090920,257029091,601314579,118795796,1863664976
